table_catalog,table_schema,table_name,column_name,field_path,data_type,description,collation_name,rounding_mode
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.page,"STRUCT<pagePath STRING, hostname STRING, pageTitle STRING, searchKeyword STRING, searchCategory STRING, pagePathLevel1 STRING, pagePathLevel2 STRING, pagePathLevel3 STRING, pagePathLevel4 STRING>",,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.page.pagePath,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.page.hostname,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.page.pageTitle,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.page.searchKeyword,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.page.searchCategory,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.page.pagePathLevel1,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.page.pagePathLevel2,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.page.pagePathLevel3,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.page.pagePathLevel4,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.transaction,"STRUCT<transactionId STRING, transactionRevenue INT64, transactionTax INT64, transactionShipping INT64, affiliation STRING, currencyCode STRING, localTransactionRevenue INT64, localTransactionTax INT64, localTransactionShipping INT64, transactionCoupon STRING>",,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.transaction.transactionId,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.transaction.transactionRevenue,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.transaction.transactionTax,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.transaction.transactionShipping,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.transaction.affiliation,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.transaction.currencyCode,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.transaction.localTransactionRevenue,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.transaction.localTransactionTax,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.transaction.localTransactionShipping,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.transaction.transactionCoupon,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.item,"STRUCT<transactionId STRING, productName STRING, productCategory STRING, productSku STRING, itemQuantity INT64, itemRevenue INT64, currencyCode STRING, localItemRevenue INT64>",,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.item.transactionId,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.item.productName,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.item.productCategory,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.item.productSku,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.item.itemQuantity,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.item.itemRevenue,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.item.currencyCode,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.item.localItemRevenue,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.contentInfo,STRUCT<contentDescription STRING>,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.contentInfo.contentDescription,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.appInfo,"STRUCT<name STRING, version STRING, id STRING, installerId STRING, appInstallerId STRING, appName STRING, appVersion STRING, appId STRING, screenName STRING, landingScreenName STRING, exitScreenName STRING, screenDepth STRING>",,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.appInfo.name,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.appInfo.version,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.appInfo.id,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.appInfo.installerId,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.appInfo.appInstallerId,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.appInfo.appName,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.appInfo.appVersion,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.appInfo.appId,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.appInfo.screenName,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.appInfo.landingScreenName,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.appInfo.exitScreenName,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.appInfo.screenDepth,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.exceptionInfo,"STRUCT<description STRING, isFatal BOOL, exceptions INT64, fatalExceptions INT64>",,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.exceptionInfo.description,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.exceptionInfo.isFatal,BOOL,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.exceptionInfo.exceptions,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.exceptionInfo.fatalExceptions,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.eventInfo,"STRUCT<eventCategory STRING, eventAction STRING, eventLabel STRING, eventValue INT64>",,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.eventInfo.eventCategory,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.eventInfo.eventAction,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.eventInfo.eventLabel,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.eventInfo.eventValue,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product,"ARRAY<STRUCT<productSKU STRING, v2ProductName STRING, v2ProductCategory STRING, productVariant STRING, productBrand STRING, productRevenue INT64, localProductRevenue INT64, productPrice INT64, localProductPrice INT64, productQuantity INT64, productRefundAmount INT64, localProductRefundAmount INT64, isImpression BOOL, isClick BOOL, customDimensions ARRAY<STRUCT<index INT64, value STRING>>, customMetrics ARRAY<STRUCT<index INT64, value INT64>>, productListName STRING, productListPosition INT64>>",,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.productSKU,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.v2ProductName,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.v2ProductCategory,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,hits,hits.product.productVariant,STRING,,NULL,
